x,30-68-55,36-72-60,37-73-61,36-74-61,34-72-59,33-71-58,32-70-57,37-75-62,35-73-60,x
38-69-63,102-197-175,100-197-177,99-198-177,100-197-178,99-198-177,100-197-178,99-198-177,99-198-178,102-199-179,33-74-68
38-65-60,x,x,x,x,x,x,x,x,x,31-70-65
39-66-61,x,x,x,x,x,x,x,x,113-186-166,30-69-64
39-65-62,x,x,x,87-113-100,76-106-94,79-106-97,x,x,x,31-67-65
36-65-63,x,x,x,x,x,x,x,x,112-185-166,33-69-67
36-65-63,x,x,x,x,x,x,x,x,112-185-166,31-67-65
38-64-63,93-200-172,x,x,107-198-180,104-198-180,106-193-177,x,101-194-175,107-194-177,30-69-64
35-65-63,x,28-74-61,30-74-61,30-72-62,32-72-64,x,110-191-185,34-75-119,102-197-177,29-68-65
35-65-63,107-196-178,x,x,102-197-175,103-196-178,100-198-173,102-197-173,102-195-176,x,28-67-64
35-66-61,x,x,x,x,x,69-176-218,103-189-176,x,102-197-173,27-66-63
39-65-62,101-197-186,x,x,95-192-172,102-196-180,x,x,102-197-173,x,29-65-61
39-66-59,98-204-181,99-198-178,x,97-197-171,100-200-176,99-199-175,x,x,101-200-179,37-73-69
x,38-65-56,40-67-58,40-67-58,42-69-60,37-67-57,39-69-59,38-69-61,39-69-59,39-69-59,x
