118-187-143,x,x,x,x,x,x,x,x,x,119-181-142
x,x,x,x,x,x,x,x,x,x,x
x,104-203-175,218-236-222,218-236-222,216-237-222,216-237-222,216-237-222,216-237-222,218-236-222,114-186-166,x
x,104-203-175,216-234-218,218-239-224,216-237-222,216-237-222,216-237-222,214-238-224,223-245-233,x,x
x,104-203-175,228-251-235,218-242-228,x,x,x,209-227-213,158-182-168,114-186-166,x
x,104-203-175,218-236-222,216-237-222,211-235-221,210-236-223,211-237-224,216-237-222,218-236-222,x,x
x,103-202-174,218-236-222,216-237-222,216-236-224,218-236-222,218-236-222,216-237-222,218-236-220,x,x
x,x,105-200-178,106-199-178,x,x,x,99-198-169,x,x,x
x,108-202-178,x,x,x,x,106-203-183,x,x,x,x
x,x,104-189-148,127-197-143,x,x,x,x,x,99-200-170,x
x,103-197-170,240-239-50,234-242-60,117-198-157,104-199-177,x,x,97-188-111,x,x
x,x,125-189-129,153-190-110,x,x,103-199-172,x,x,102-199-168,x
x,x,x,99-203-178,x,x,x,107-201-183,101-199-174,x,x
130-193-146,x,x,x,x,x,x,x,x,x,124-191-150
